"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Problem Start Time","Problem End Time","Latency (sec)","Steps Missing Start Times","Hints","Incorrects","Corrects","Avg Corrects","Steps","Avg Assistance Score","Correct First Attempts","Condition","KCs (Geometry)","Steps without KCs (Geometry)","KC List (Geometry)","KCs (KRE_circle_area)","Steps without KCs (KRE_circle_area)","KC List (KRE_circle_area)","KCs (Khushboo)","Steps without KCs (Khushboo)","KC List (Khushboo)","KCs (MJB-SQRECT-Merge)","Steps without KCs (MJB-SQRECT-Merge)","KC List (MJB-SQRECT-Merge)","KCs (MyKC)","Steps without KCs (MyKC)","KC List (MyKC)","KCs (NNEWWW)","Steps without KCs (NNEWWW)","KC List (NNEWWW)","KCs (New)","Steps without KCs (New)","KC List (New)","KCs (NewModel)","Steps without KCs (NewModel)","KC List (NewModel)","KCs (Single-KC)","Steps without KCs (Single-KC)","KC List (Single-KC)","KCs (Textbook)","Steps without KCs (Textbook)","KC List (Textbook)","KCs (Textbook-test)","Steps without KCs (Textbook-test)","KC List (Textbook-test)","KCs (Unique-step)","Steps without KCs (Unique-step)","KC List (Unique-step)","KCs (Zhulin_Textbook11_SquareRectMerge)","Steps without KCs (Zhulin_Textbook11_SquareRectMerge)","KC List (Zhulin_Textbook11_SquareRectMerge)","KCs (new KC model name)","Steps without KCs (new KC model name)","KC List (new KC model name)"
"11",11,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",2,"1996-02-01 00:19:08","1996-02-01 00:19:08",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"12",12,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",2,"1996-02-01 00:20:06","1996-02-01 00:20:06",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"13",13,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",2,"1996-02-01 00:21:49","1996-02-01 00:21:49",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"14",14,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",2,"1996-02-01 00:24:17","1996-02-01 00:25:34",77,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"15",15,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",3,"1996-02-01 00:25:40","1996-02-01 00:25:41",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"16",16,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",3,"1996-02-01 00:27:58","1996-02-01 00:27:58",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"17",17,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",3,"1996-02-01 00:28:06","1996-02-01 00:28:58",52,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"18",18,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",4,"1996-02-01 00:29:03","1996-02-01 00:29:03",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"19",19,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",4,"1996-02-01 00:29:37","1996-02-01 00:29:38",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"20",20,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",3,"1996-02-01 00:29:51","1996-02-01 00:29:52",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"21",21,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",4,"1996-02-01 00:29:57","1996-02-01 00:30:55",58,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,7,1,0,"trapezoid-area",1,0,22
"22",22,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",5,"1996-02-01 00:31:01","1996-02-01 00:31:01",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,59,1,0,"trapezoid-area",1,0,22
"23",23,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",5,"1996-02-01 00:31:36","1996-02-01 00:31:36",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"24",24,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",4,"1996-02-01 00:31:40","1996-02-01 00:31:41",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"25",25,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",6,"1996-02-01 00:31:44","1996-02-01 00:31:44",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,47,1,0,"trapezoid-area",1,0,22
"26",26,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",5,"1996-02-01 00:33:35","1996-02-01 00:33:50",15,0,0,0,5,5,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,8,1,0,"trapezoid-area",1,0,22
"27",27,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",1,"1996-02-01 00:33:53","1996-02-01 00:34:28",35,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,50,1,0,"triangle-area",1,0,23
"28",28,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_TRIANGLE",1,"1996-02-01 00:34:56","1996-02-01 00:34:57",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,60,1,0,"triangle-area",1,0,23
"29",29,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_RECTANGLE",1,"1996-02-01 00:35:09","1996-02-01 00:35:30",21,0,0,2,2,1,2,1,0,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,17,2,0,"compose-by-multiplication, triangle-area",2,0,17
"30",30,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","DESIGNING_A_QUILT",1,"1996-02-01 00:36:03","1996-02-01 00:39:37",214,0,0,3,12,1,12,0.25,9,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",12,0,10,2,0,"compose-by-multiplication, triangle-area",2,0,17
"31",31,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",1,"1996-02-01 00:39:40","1996-02-01 00:40:23",43,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"32",32,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_AREA",1,"1996-02-01 00:40:46","1996-02-01 00:40:46",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,54,1,0,"triangle-area",1,0,23
"33",33,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",1,"1996-02-01 00:41:07","1996-02-01 00:41:08",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,11,1,0,"triangle-area",1,0,23
"34",34,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",1,"1996-02-01 00:41:28","1996-02-01 00:41:29",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,49,1,0,"triangle-area",1,0,23
"35",35,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","DESIGNING_A_QUILT",2,"1996-02-01 00:41:33","1996-02-01 00:43:13",100,0,0,1,12,1,12,0.083,11,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",12,0,9.99999999999999,2,0,"compose-by-multiplication, triangle-area",2,0,17
"36",36,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",2,"1996-02-01 00:43:16","1996-02-01 00:44:03",47,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"37",37,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",2,"1996-02-01 00:44:25","1996-02-01 00:45:01",36,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,50,1,0,"triangle-area",1,0,23
"38",38,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",2,"1996-02-01 00:45:29","1996-02-01 00:45:30",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,11,1,0,"triangle-area",1,0,23
"39",39,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",2,"1996-02-01 00:45:35","1996-02-01 00:45:36",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,49,1,0,"triangle-area",1,0,23
"40",40,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",3,"1996-02-01 00:45:43","1996-02-01 00:47:00",77,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,50,1,0,"triangle-area",1,0,23
"41",41,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",3,"1996-02-01 00:47:38","1996-02-01 00:47:38",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,11,1,0,"triangle-area",1,0,23
"42",42,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",3,"1996-02-01 00:47:42","1996-02-01 00:47:43",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,49,1,0,"triangle-area",1,0,23
"43",43,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON",1,"1996-02-01 00:47:49","1996-02-01 00:48:03",14,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
"44",44,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",3,"1996-02-01 00:48:13","1996-02-01 00:48:25",12,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"45",45,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON",2,"1996-02-01 00:48:49","1996-02-01 00:49:22",33,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
"46",46,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",4,"1996-02-01 00:49:41","1996-02-01 00:49:41",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",1,0,24,1,0,"pentagon-area",1,0,20
"47",47,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON",3,"1996-02-01 00:49:59","1996-02-01 00:50:47",48,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
