Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Geometry)	Opportunity (Geometry)	Predicted Error Rate (Geometry)	KC (KRE_circle_area)	Opportunity (KRE_circle_area)	Predicted Error Rate (KRE_circle_area)	KC (Khushboo)	Opportunity (Khushboo)	Predicted Error Rate (Khushboo)	KC (MJB-SQRECT-Merge)	Opportunity (MJB-SQRECT-Merge)	Predicted Error Rate (MJB-SQRECT-Merge)	KC (MyKC)	Opportunity (MyKC)	Predicted Error Rate (MyKC)	KC (NNEWWW)	Opportunity (NNEWWW)	Predicted Error Rate (NNEWWW)	KC (New)	Opportunity (New)	Predicted Error Rate (New)	KC (NewModel)	Opportunity (NewModel)	Predicted Error Rate (NewModel)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Textbook)	Opportunity (Textbook)	Predicted Error Rate (Textbook)	KC (Textbook-test)	Opportunity (Textbook-test)	Predicted Error Rate (Textbook-test)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)	KC (Zhulin_Textbook11_SquareRectMerge)	Opportunity (Zhulin_Textbook11_SquareRectMerge)	Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)	KC (new KC model name)	Opportunity (new KC model name)	Predicted Error Rate (new KC model name)
21	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION1)	1996-02-01 00:07:15	1996-02-01 00:07:22	1996-02-01 00:07:22	1996-02-01 00:07:22	7	7	.	correct	0	0	1	.	Geometry	21	0.4299	compose-by-addition	4	0.4642	compose-by-addition	4	0.4708	compose-by-addition	4	0.4625	compose-by-addition	4	0.4627	compose-by-addition	4	0.4627	compose-by-addition	4	0.4625	compose-by-addition	4	0.4625	Single-KC	21	0.4299	compose-by-addition	4	0.4627	compose-by-addition	4	0.4625	KC126	1	0.6264	compose-by-addition	4	0.4625			
22	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION2)	1996-02-01 00:07:22	1996-02-01 00:07:28	1996-02-01 00:07:28	1996-02-01 00:07:28	6	6	.	correct	0	0	1	.	Geometry	22	0.4298	rectangle-area	12	0.1694	area	18	0.4533	sq_rect-area	15	0.1671	rectangle-area	12	0.1687	rectangle-area	12	0.1687	square-rect-area	15	0.1671	square-rect-area	15	0.1671	Single-KC	22	0.4298	rectangle-area	12	0.1687	rectangle-area	15	0.1671	KC114	1	0.1322	square-rect-area	15	0.1671			
23	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(DOOR-AREA QUESTION3)	1996-02-01 00:07:28	1996-02-01 00:07:47	1996-02-01 00:07:47	1996-02-01 00:07:47	19	19	.	correct	0	0	1	.	Geometry	23	0.4298	rectangle-area	13	0.1645	area	19	0.4527	sq_rect-area	16	0.1639	rectangle-area	13	0.1637	rectangle-area	13	0.1637	square-rect-area	16	0.1639	square-rect-area	16	0.1639	Single-KC	23	0.4298	rectangle-area	13	0.1637	rectangle-area	16	0.1639	KC64	1	0.1322	square-rect-area	16	0.1639			
24	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION2)	1996-02-01 00:07:47	1996-02-01 00:07:53	1996-02-01 00:07:54	1996-02-01 00:07:54	7	.	7	incorrect	1	0	1	.	Geometry	24	0.4297	rectangle-area	14	0.1596	area	20	0.4521	sq_rect-area	17	0.1607	rectangle-area	14	0.1588	rectangle-area	14	0.1588	square-rect-area	17	0.1607	square-rect-area	17	0.1607	Single-KC	24	0.4297	rectangle-area	14	0.1588	rectangle-area	17	0.1607	KC108	1	0.1049	square-rect-area	17	0.1607			
25	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION2)	1996-02-01 00:07:54	1996-02-01 00:08:00	1996-02-01 00:08:01	1996-02-01 00:08:01	7	.	7	incorrect	1	0	1	.	Geometry	25	0.4297	compose-by-addition	5	0.4642	compose-by-addition	5	0.4708	compose-by-addition	5	0.4625	compose-by-addition	5	0.4627	compose-by-addition	5	0.4627	compose-by-addition	5	0.4625	compose-by-addition	5	0.4625	Single-KC	25	0.4297	compose-by-addition	5	0.4627	compose-by-addition	5	0.4625	KC76	1	0.1959	compose-by-addition	5	0.4625			
26	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(WALL-AREA QUESTION3)	1996-02-01 00:08:01	1996-02-01 00:08:08	1996-02-01 00:08:08	1996-02-01 00:08:08	7	7	.	correct	0	0	1	.	Geometry	26	0.4296	rectangle-area	15	0.1549	area	21	0.4516	sq_rect-area	18	0.1576	rectangle-area	15	0.1541	rectangle-area	15	0.1541	square-rect-area	18	0.1576	square-rect-area	18	0.1576	Single-KC	26	0.4296	rectangle-area	15	0.1541	rectangle-area	18	0.1576	KC41	1	0.1581	square-rect-area	18	0.1576			
27	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	PAINTING_THE_WALL	1	(PAINTED-AREA QUESTION3)	1996-02-01 00:08:08	1996-02-01 00:08:15	1996-02-01 00:08:15	1996-02-01 00:08:15	7	7	.	correct	0	0	1	.	Geometry	27	0.4296	compose-by-addition	6	0.4642	compose-by-addition	6	0.4708	compose-by-addition	6	0.4625	compose-by-addition	6	0.4627	compose-by-addition	6	0.4627	compose-by-addition	6	0.4625	compose-by-addition	6	0.4625	Single-KC	27	0.4296	compose-by-addition	6	0.4627	compose-by-addition	6	0.4625	KC91	1	0.1322	compose-by-addition	6	0.4625			
28	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	RECTANGLE_HEIGHT	1	(HEIGHT QUESTION2)	1996-02-01 00:08:22	1996-02-01 00:08:22	1996-02-01 00:08:22	1996-02-01 00:08:22	0	0	.	correct	0	0	1	.	Geometry	28	0.4295	rectangle-area	16	0.1503	area	22	0.4510	sq_rect-area	19	0.1545	rectangle-area	16	0.1495	rectangle-area	16	0.1495	square-rect-area	19	0.1545	square-rect-area	19	0.1545	Single-KC	28	0.4295	rectangle-area	16	0.1495	rectangle-area	19	0.1545				square-rect-area	19	0.1545	square-rect-area	13	0.1467
29	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_AREA	1	(AREA QUESTION1)	1996-02-01 00:08:32	1996-02-01 00:08:32	1996-02-01 00:08:33	1996-02-01 00:08:33	1	.	1	incorrect	1	0	1	.	Geometry	29	0.4295	trapezoid-area	1	0.8040	area	23	0.4504	trapezoid-area	1	0.8026	trapezoid-area	1	0.8030	trapezoid-area	1	0.8030	trapezoid-area	1	0.8026	trapezoid-area	1	0.8026	Single-KC	29	0.4295	trapezoid-area	1	0.8030	trapezoid-area	1	0.8026	KC47	1	0.7124	trapezoid-area	1	0.8026	trapezoid-area	1	0.8072
30	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_HEIGHT	1	(HEIGHT QUESTION3)	1996-02-01 00:12:15	1996-02-01 00:12:15	1996-02-01 00:12:16	1996-02-01 00:12:16	1	.	1	incorrect	1	0	1	.	Geometry	30	0.4294	trapezoid-area	2	0.7892	area	24	0.4498	trapezoid-area	2	0.7878	trapezoid-area	2	0.7881	trapezoid-area	2	0.7881	trapezoid-area	2	0.7878	trapezoid-area	2	0.7878	Single-KC	30	0.4294	trapezoid-area	2	0.7881	trapezoid-area	2	0.7878	KC23	1	0.8276	trapezoid-area	2	0.7878	trapezoid-area	2	0.7921
31	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_BASE	1	(LONGER-BASE QUESTION2)	1996-02-01 00:12:22	1996-02-01 00:12:22	1996-02-01 00:12:23	1996-02-01 00:12:23	1	.	1	incorrect	1	0	1	.	Geometry	31	0.4294	trapezoid-area	3	0.7735	area	25	0.4492	trapezoid-area	3	0.7721	trapezoid-area	3	0.7724	trapezoid-area	3	0.7724	trapezoid-area	3	0.7721	trapezoid-area	3	0.7721	Single-KC	31	0.4294	trapezoid-area	3	0.7724	trapezoid-area	3	0.7721	KC102	1	0.7122	trapezoid-area	3	0.7721	trapezoid-area	3	0.7761
32	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_ABCD	1	(AREA QUESTION1)	1996-02-01 00:12:28	1996-02-01 00:12:28	1996-02-01 00:12:29	1996-02-01 00:18:17	48	.	48	incorrect	2	0	2	.	Geometry	32	0.4293	trapezoid-area	4	0.7571	area	26	0.4486	trapezoid-area	4	0.7556	trapezoid-area	4	0.7559	trapezoid-area	4	0.7559	trapezoid-area	4	0.7556	trapezoid-area	4	0.7556	Single-KC	32	0.4293	trapezoid-area	4	0.7559	trapezoid-area	4	0.7556	KC73	1	0.8636	trapezoid-area	4	0.7556	trapezoid-area	4	0.7593
33	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_ABCD	1	(LONGER-BASE QUESTION2)	1996-02-01 00:12:29	1996-02-01 00:14:20	1996-02-01 00:14:20	1996-02-01 00:17:30	151	151	.	correct	1	0	2	.	Geometry	33	0.4292	trapezoid-area	5	0.7399	area	27	0.4480	trapezoid-area	5	0.7383	trapezoid-area	5	0.7387	trapezoid-area	5	0.7387	trapezoid-area	5	0.7383	trapezoid-area	5	0.7383	Single-KC	33	0.4292	trapezoid-area	5	0.7387	trapezoid-area	5	0.7383	KC34	1	0.8270	trapezoid-area	5	0.7383	trapezoid-area	5	0.7417
34	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_ABCD	1	(HEIGHT QUESTION3)	1996-02-01 00:14:20	1996-02-01 00:16:49	1996-02-01 00:16:50	1996-02-01 00:18:23	156	.	156	incorrect	1	0	2	.	Geometry	34	0.4292	trapezoid-area	6	0.7219	area	28	0.4474	trapezoid-area	6	0.7203	trapezoid-area	6	0.7206	trapezoid-area	6	0.7206	trapezoid-area	6	0.7203	trapezoid-area	6	0.7203	Single-KC	34	0.4292	trapezoid-area	6	0.7206	trapezoid-area	6	0.7203	KC101	1	0.8055	trapezoid-area	6	0.7203	trapezoid-area	6	0.7233
35	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_AREA	2	(AREA QUESTION1)	1996-02-01 00:19:08	1996-02-01 00:19:08	1996-02-01 00:19:08	1996-02-01 00:19:08	0	0	.	correct	0	0	1	.	Geometry	35	0.4291	trapezoid-area	7	0.7031	area	29	0.4468	trapezoid-area	7	0.7015	trapezoid-area	7	0.7019	trapezoid-area	7	0.7019	trapezoid-area	7	0.7015	trapezoid-area	7	0.7015	Single-KC	35	0.4291	trapezoid-area	7	0.7019	trapezoid-area	7	0.7015	KC47	2	0.6193	trapezoid-area	7	0.7015	trapezoid-area	7	0.7040
36	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_HEIGHT	2	(HEIGHT QUESTION3)	1996-02-01 00:20:06	1996-02-01 00:20:06	1996-02-01 00:20:06	1996-02-01 00:20:06	0	0	.	correct	0	0	1	.	Geometry	36	0.4291	trapezoid-area	8	0.6837	area	30	0.4462	trapezoid-area	8	0.6821	trapezoid-area	8	0.6824	trapezoid-area	8	0.6824	trapezoid-area	8	0.6821	trapezoid-area	8	0.6821	Single-KC	36	0.4291	trapezoid-area	8	0.6824	trapezoid-area	8	0.6821	KC23	2	0.7115	trapezoid-area	8	0.6821	trapezoid-area	8	0.6840
37	All Data	Stu_02ee1b3f31a6f6a7f4b8012298b2395e	Unit Area	TRAPEZOID_BASE	2	(LONGER-BASE QUESTION2)	1996-02-01 00:21:49	1996-02-01 00:21:49	1996-02-01 00:21:49	1996-02-01 00:21:49	0	0	.	correct	0	0	1	.	Geometry	37	0.4290	trapezoid-area	9	0.6635	area	31	0.4456	trapezoid-area	9	0.6619	trapezoid-area	9	0.6622	trapezoid-area	9	0.6622	trapezoid-area	9	0.6619	trapezoid-area	9	0.6619	Single-KC	37	0.4290	trapezoid-area	9	0.6622	trapezoid-area	9	0.6619	KC102	2	0.6489	trapezoid-area	9	0.6619	trapezoid-area	9	0.6633
