"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Step Name","Step Start Time","First Transaction Time","Correct Transaction Time","Step End Time","Step Duration (sec)","Correct Step Duration (sec)","Error Step Duration (sec)","First Attempt","Incorrects","Hints","Corrects","Condition","KC (Geometry)","Opportunity (Geometry)","Predicted Error Rate (Geometry)","KC (KRE_circle_area)","Opportunity (KRE_circle_area)","Predicted Error Rate (KRE_circle_area)","KC (Khushboo)","Opportunity (Khushboo)","Predicted Error Rate (Khushboo)","KC (MJB-SQRECT-Merge)","Opportunity (MJB-SQRECT-Merge)","Predicted Error Rate (MJB-SQRECT-Merge)","KC (MyKC)","Opportunity (MyKC)","Predicted Error Rate (MyKC)","KC (NNEWWW)","Opportunity (NNEWWW)","Predicted Error Rate (NNEWWW)","KC (New)","Opportunity (New)","Predicted Error Rate (New)","KC (NewModel)","Opportunity (NewModel)","Predicted Error Rate (NewModel)","KC (Single-KC)","Opportunity (Single-KC)","Predicted Error Rate (Single-KC)","KC (Textbook)","Opportunity (Textbook)","Predicted Error Rate (Textbook)","KC (Textbook-test)","Opportunity (Textbook-test)","Predicted Error Rate (Textbook-test)","KC (Unique-step)","Opportunity (Unique-step)","Predicted Error Rate (Unique-step)","KC (Zhulin_Textbook11_SquareRectMerge)","Opportunity (Zhulin_Textbook11_SquareRectMerge)","Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)","KC (new KC model name)","Opportunity (new KC model name)","Predicted Error Rate (new KC model name)"
"11",11,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(LARGE-RECTANGLE-AREA QUESTION3)","1996-02-01 00:05:12","1996-02-01 00:05:18","1996-02-01 00:05:18","1996-02-01 00:05:18",6,6,100.198187778907,"correct",0,0,1,0,"Geometry",11,0.4305,"rectangle-area",9,0.1851,"area",9,0.4587,"sq_rect-area",9,0.1876,"rectangle-area",9,0.1843,"rectangle-area",9,0.1843,"square-rect-area",9,0.1876,"square-rect-area",9,0.1876,"Single-KC",11,0.4305,"rectangle-area",9,0.1843,"rectangle-area",9,0.1876,32,1,0.1288,"square-rect-area",9,0.1876,9,9,0.1662
"12",12,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","BUILDING_A_SIDEWALK",1,"(SIDEWALK-AREA QUESTION3)","1996-02-01 00:05:18","1996-02-01 00:05:22","1996-02-01 00:05:22","1996-02-01 00:05:22",4,4,76.3228318151097,"correct",0,0,1,0,"Geometry",12,0.4304,"compose-by-addition",3,0.4642,"compose-by-addition",3,0.4708,"compose-by-addition",3,0.4625,"compose-by-addition",3,0.4627,"compose-by-addition",3,0.4627,"compose-by-addition",3,0.4625,"compose-by-addition",3,0.4625,"Single-KC",12,0.4304,"compose-by-addition",3,0.4627,"compose-by-addition",3,0.4625,33,1,0.0641,"compose-by-addition",3,0.4625,4,3,0.4892
"13",13,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PARALLELOGRAM_ABDE",1,"(AREA QUESTION1)","1996-02-01 00:05:30","1996-02-01 00:05:30","1996-02-01 00:05:30","1996-02-01 00:05:30",0,0,56.7264661918378,"correct",0,0,1,0,"Geometry",13,0.4303,"parallelogram-area",1,0.2501,"area",10,0.4581,"parallelogram-area",1,0.2489,"parallelogram-area",1,0.249,"parallelogram-area",1,0.249,"parallelogram-area",1,0.2489,"parallelogram-area",1,0.2489,"Single-KC",13,0.4303,"parallelogram-area",1,0.249,"parallelogram-area",1,0.2489,62,1,0.1482,"parallelogram-area",1,0.2489,4.5116952113064,0.852622182155724,0.456987909034444
"14",14,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PARALLELOGRAM_ABDE",1,"(HEIGHT QUESTION2)","1996-02-01 00:05:30","1996-02-01 00:06:10","1996-02-01 00:06:11","1996-02-01 00:06:11",41,12.5341498825675,41,"incorrect",1,0,1,0,"Geometry",14,0.4303,"parallelogram-area",2,0.2501,"area",11,0.4575,"parallelogram-area",2,0.2489,"parallelogram-area",2,0.249,"parallelogram-area",2,0.249,"parallelogram-area",2,0.2489,"parallelogram-area",2,0.2489,"Single-KC",14,0.4303,"parallelogram-area",2,0.249,"parallelogram-area",2,0.2489,48,1,0.2223,"parallelogram-area",2,0.2489,7,1,0.2967
"15",15,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PARALLELOGRAM_ABDE",1,"(BASE QUESTION3)","1996-02-01 00:06:11","1996-02-01 00:06:29","1996-02-01 00:06:29","1996-02-01 00:06:29",18,18,28.7343423305055,"correct",0,0,1,0,"Geometry",15,0.4302,"parallelogram-area",3,0.2501,"area",12,0.4569,"parallelogram-area",3,0.2489,"parallelogram-area",3,0.249,"parallelogram-area",3,0.249,"parallelogram-area",3,0.2489,"parallelogram-area",3,0.2489,"Single-KC",15,0.4302,"parallelogram-area",3,0.249,"parallelogram-area",3,0.2489,125,1,0.2897,"parallelogram-area",3,0.2489,7,2,0.2967
"16",16,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","SQUARE_ABCD",1,"(AREA QUESTION1)","1996-02-01 00:06:53","1996-02-01 00:06:53","1996-02-01 00:06:53","1996-02-01 00:06:53",0,0,19.5204022742633,"correct",0,0,1,0,"Geometry",16,0.4302,"square-area",1,0.1544,"area",13,0.4563,"sq_rect-area",10,0.1841,"square-area",1,0.1533,"square-area",1,0.1533,"square-rect-area",10,0.1841,"square-rect-area",10,0.1841,"Single-KC",16,0.4302,"square-area",1,0.1533,"rectangle-area",10,0.1841,106,1,-5.55111512312578e-17,"square-rect-area",10,0.1841,9,10,0.1611
"17",17,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","SQUARE_ABCD",1,"(HEIGHT QUESTION2)","1996-02-01 00:06:53","1996-02-01 00:06:56","1996-02-01 00:06:56","1996-02-01 00:06:56",3,3,12.9490889221826,"correct",0,0,1,0,"Geometry",17,0.4301,"square-area",2,0.1544,"area",14,0.4557,"sq_rect-area",11,0.1806,"square-area",2,0.1533,"square-area",2,0.1533,"square-rect-area",11,0.1806,"square-rect-area",11,0.1806,"Single-KC",17,0.4301,"square-area",2,0.1533,"rectangle-area",11,0.1806,42,1,0.0758,"square-rect-area",11,0.1806,9,11,0.1562
"18",18,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","SQUARE_ABCD",1,"(BASE QUESTION3)","1996-02-01 00:06:56","1996-02-01 00:07:02","1996-02-01 00:07:02","1996-02-01 00:07:02",6,6,8.61131136517244,"correct",0,0,1,0,"Geometry",18,0.4301,"square-area",3,0.1543,"area",15,0.4551,"sq_rect-area",12,0.1771,"square-area",3,0.1533,"square-area",3,0.1533,"square-rect-area",12,0.1771,"square-rect-area",12,0.1771,"Single-KC",18,0.4301,"square-area",3,0.1533,"rectangle-area",12,0.1771,50,1,0.0758,"square-rect-area",12,0.1771,9,12,0.1514
"19",19,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(DOOR-AREA QUESTION1)","1996-02-01 00:07:10","1996-02-01 00:07:10","1996-02-01 00:07:10","1996-02-01 00:07:10",0,-8.88178419700125e-16,6.09797869414187,"correct",0,0,1,0,"Geometry",19,0.43,"rectangle-area",10,0.1798,"area",16,0.4545,"sq_rect-area",13,0.1737,"rectangle-area",10,0.179,"rectangle-area",10,0.179,"square-rect-area",13,0.1737,"square-rect-area",13,0.1737,"Single-KC",19,0.43,"rectangle-area",10,0.179,"rectangle-area",13,0.1737,112,1,0.174,"square-rect-area",13,0.1737,8.99265541122412,15.0713768539789,0.0385302386048872
"20",20,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(WALL-AREA QUESTION1)","1996-02-01 00:07:10","1996-02-01 00:07:14","1996-02-01 00:07:15","1996-02-01 00:07:15",5,3.00937054746908,5,"incorrect",1,0,1,0,"Geometry",20,0.43,"rectangle-area",11,0.1745,"area",17,0.4539,"sq_rect-area",14,0.1704,"rectangle-area",11,0.1738,"rectangle-area",11,0.1738,"square-rect-area",14,0.1704,"square-rect-area",14,0.1704,"Single-KC",20,0.43,"rectangle-area",11,0.1738,"rectangle-area",14,0.1704,54,1,0.5577,"square-rect-area",14,0.1704,8.78738717487581,19.3984603461459,-0.161846267251024
"21",21,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(PAINTED-AREA QUESTION1)","1996-02-01 00:07:15","1996-02-01 00:07:22","1996-02-01 00:07:22","1996-02-01 00:07:22",7,7,4.91484989224185,"correct",0,0,1,0,"Geometry",21,0.4299,"compose-by-addition",4,0.4642,"compose-by-addition",4,0.4708,"compose-by-addition",4,0.4625,"compose-by-addition",4,0.4627,"compose-by-addition",4,0.4627,"compose-by-addition",4,0.4625,"compose-by-addition",4,0.4625,"Single-KC",21,0.4299,"compose-by-addition",4,0.4627,"compose-by-addition",4,0.4625,31,1,0.6264,"compose-by-addition",4,0.4625,8.45902870785939,24.262745749349,-0.407547841612009
"22",22,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(DOOR-AREA QUESTION2)","1996-02-01 00:07:22","1996-02-01 00:07:28","1996-02-01 00:07:28","1996-02-01 00:07:28",6,6,5.46626505470608,"correct",0,0,1,0,"Geometry",22,0.4298,"rectangle-area",12,0.1694,"area",18,0.4533,"sq_rect-area",15,0.1671,"rectangle-area",12,0.1687,"rectangle-area",12,0.1687,"square-rect-area",15,0.1671,"square-rect-area",15,0.1671,"Single-KC",22,0.4298,"rectangle-area",12,0.1687,"rectangle-area",15,0.1671,18,1,0.1322,"square-rect-area",15,0.1671,8.08241342707917,28.9457283364359,-0.656392808522341
"23",23,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(DOOR-AREA QUESTION3)","1996-02-01 00:07:28","1996-02-01 00:07:47","1996-02-01 00:07:47","1996-02-01 00:07:47",19,19,6.28454768981727,"correct",0,0,1,0,"Geometry",23,0.4298,"rectangle-area",13,0.1645,"area",19,0.4527,"sq_rect-area",16,0.1639,"rectangle-area",13,0.1637,"rectangle-area",13,0.1637,"square-rect-area",16,0.1639,"square-rect-area",16,0.1639,"Single-KC",23,0.4298,"rectangle-area",13,0.1637,"rectangle-area",16,0.1639,94,1,0.1322,"square-rect-area",16,0.1639,7.73237474943947,32.7289033802546,-0.866199492026295
"24",24,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(WALL-AREA QUESTION2)","1996-02-01 00:07:47","1996-02-01 00:07:53","1996-02-01 00:07:54","1996-02-01 00:07:54",7,20.7095682819335,7,"incorrect",1,0,1,0,"Geometry",24,0.4297,"rectangle-area",14,0.1596,"area",20,0.4521,"sq_rect-area",17,0.1607,"rectangle-area",14,0.1588,"rectangle-area",14,0.1588,"square-rect-area",17,0.1607,"square-rect-area",17,0.1607,"Single-KC",24,0.4297,"rectangle-area",14,0.1588,"rectangle-area",17,0.1607,11,1,0.1049,"square-rect-area",17,0.1607,7.48374609184462,34.893766153653,-0.994786216168145
"25",25,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(PAINTED-AREA QUESTION2)","1996-02-01 00:07:54","1996-02-01 00:08:00","1996-02-01 00:08:01","1996-02-01 00:08:01",7,12.6188379797202,7,"incorrect",1,0,1,0,"Geometry",25,0.4297,"compose-by-addition",5,0.4642,"compose-by-addition",5,0.4708,"compose-by-addition",5,0.4625,"compose-by-addition",5,0.4627,"compose-by-addition",5,0.4627,"compose-by-addition",5,0.4625,"compose-by-addition",5,0.4625,"Single-KC",25,0.4297,"compose-by-addition",5,0.4627,"compose-by-addition",5,0.4625,107,1,0.1959,"compose-by-addition",5,0.4625,7.41136087119893,34.7218119294788,-0.999971304992167
"26",26,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(WALL-AREA QUESTION3)","1996-02-01 00:08:01","1996-02-01 00:08:08","1996-02-01 00:08:08","1996-02-01 00:08:08",7,7,5.25132488662897,"correct",0,0,1,0,"Geometry",26,0.4296,"rectangle-area",15,0.1549,"area",21,0.4516,"sq_rect-area",18,0.1576,"rectangle-area",15,0.1541,"rectangle-area",15,0.1541,"square-rect-area",18,0.1576,"square-rect-area",18,0.1576,"Single-KC",26,0.4296,"rectangle-area",15,0.1541,"rectangle-area",18,0.1576,69,1,0.1581,"square-rect-area",18,0.1576,7.59005250440672,31.49453598058,-0.839573082542633
"27",27,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PAINTING_THE_WALL",1,"(PAINTED-AREA QUESTION3)","1996-02-01 00:08:08","1996-02-01 00:08:15","1996-02-01 00:08:15","1996-02-01 00:08:15",7,7,2.68221140014537,"correct",0,0,1,0,"Geometry",27,0.4296,"compose-by-addition",6,0.4642,"compose-by-addition",6,0.4708,"compose-by-addition",6,0.4625,"compose-by-addition",6,0.4627,"compose-by-addition",6,0.4627,"compose-by-addition",6,0.4625,"compose-by-addition",6,0.4625,"Single-KC",27,0.4296,"compose-by-addition",6,0.4627,"compose-by-addition",6,0.4625,124,1,0.1322,"compose-by-addition",6,0.4625,8.0946544083723,24.4934335798045,-0.471409872863819
"28",28,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","RECTANGLE_HEIGHT",1,"(HEIGHT QUESTION2)","1996-02-01 00:08:22","1996-02-01 00:08:22","1996-02-01 00:08:22","1996-02-01 00:08:22",0,0,0.771992213589088,"correct",0,0,1,0,"Geometry",28,0.4295,"rectangle-area",16,0.1503,"area",22,0.451,"sq_rect-area",19,0.1545,"rectangle-area",16,0.1495,"rectangle-area",16,0.1495,"square-rect-area",19,0.1545,"square-rect-area",19,0.1545,"Single-KC",28,0.4295,"rectangle-area",16,0.1495,"rectangle-area",19,0.1545,119.362634578317,1.00033987652788,0.381486077940947,"square-rect-area",19,0.1545,9,13,0.146700000000001
"29",29,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",1,"(AREA QUESTION1)","1996-02-01 00:08:32","1996-02-01 00:08:32","1996-02-01 00:08:33","1996-02-01 00:08:33",1,29.0719968961349,1,"incorrect",1,0,1,0,"Geometry",29,0.4295,"trapezoid-area",1,0.804,"area",23,0.4504,"trapezoid-area",1,0.8026,"trapezoid-area",1,0.803,"trapezoid-area",1,0.803,"trapezoid-area",1,0.8026,"trapezoid-area",1,0.8026,"Single-KC",29,0.4295,"trapezoid-area",1,0.803,"trapezoid-area",1,0.8026,75,1,0.7124,"trapezoid-area",1,0.8026,10,1,0.8072
"30",30,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",1,"(HEIGHT QUESTION3)","1996-02-01 00:12:15","1996-02-01 00:12:15","1996-02-01 00:12:16","1996-02-01 00:12:16",1,85.5243476750745,1,"incorrect",1,0,1,0,"Geometry",30,0.4294,"trapezoid-area",2,0.7892,"area",24,0.4498,"trapezoid-area",2,0.7878,"trapezoid-area",2,0.7881,"trapezoid-area",2,0.7881,"trapezoid-area",2,0.7878,"trapezoid-area",2,0.7878,"Single-KC",30,0.4294,"trapezoid-area",2,0.7881,"trapezoid-area",2,0.7878,49,1,0.8276,"trapezoid-area",2,0.7878,10,2,0.7921
"31",31,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",1,"(LONGER-BASE QUESTION2)","1996-02-01 00:12:22","1996-02-01 00:12:22","1996-02-01 00:12:23","1996-02-01 00:12:23",1,142.540700005947,0.999999999999999,"incorrect",1,0,1,0,"Geometry",31,0.4294,"trapezoid-area",3,0.7735,"area",25,0.4492,"trapezoid-area",3,0.7721,"trapezoid-area",3,0.7724,"trapezoid-area",3,0.7724,"trapezoid-area",3,0.7721,"trapezoid-area",3,0.7721,"Single-KC",31,0.4294,"trapezoid-area",3,0.7724,"trapezoid-area",3,0.7721,5,1,0.7122,"trapezoid-area",3,0.7721,10,3,0.7761
"32",32,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",1,"(AREA QUESTION1)","1996-02-01 00:12:28","1996-02-01 00:12:28","1996-02-01 00:12:29","1996-02-01 00:18:17",48,173.304701557879,48,"incorrect",2,0,2,0,"Geometry",32,0.4293,"trapezoid-area",4,0.7571,"area",26,0.4486,"trapezoid-area",4,0.7556,"trapezoid-area",4,0.7559,"trapezoid-area",4,0.7559,"trapezoid-area",4,0.7556,"trapezoid-area",4,0.7556,"Single-KC",32,0.4293,"trapezoid-area",4,0.7559,"trapezoid-area",4,0.7556,104,1,0.8636,"trapezoid-area",4,0.7556,10,4,0.7593
"33",33,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",1,"(LONGER-BASE QUESTION2)","1996-02-01 00:12:29","1996-02-01 00:14:20","1996-02-01 00:14:20","1996-02-01 00:17:30",151,151,118.697338408037,"correct",1,0,2,0,"Geometry",33,0.4292,"trapezoid-area",5,0.7399,"area",27,0.448,"trapezoid-area",5,0.7383,"trapezoid-area",5,0.7387,"trapezoid-area",5,0.7387,"trapezoid-area",5,0.7383,"trapezoid-area",5,0.7383,"Single-KC",33,0.4292,"trapezoid-area",5,0.7387,"trapezoid-area",5,0.7383,61,1,0.827,"trapezoid-area",5,0.7383,10,5,0.7417
"34",34,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",1,"(HEIGHT QUESTION3)","1996-02-01 00:14:20","1996-02-01 00:16:49","1996-02-01 00:16:50","1996-02-01 00:18:23",156,68.8203582225223,156,"incorrect",1,0,2,0,"Geometry",34,0.4292,"trapezoid-area",6,0.7219,"area",28,0.4474,"trapezoid-area",6,0.7203,"trapezoid-area",6,0.7206,"trapezoid-area",6,0.7206,"trapezoid-area",6,0.7203,"trapezoid-area",6,0.7203,"Single-KC",34,0.4292,"trapezoid-area",6,0.7206,"trapezoid-area",6,0.7203,4,1,0.8055,"trapezoid-area",6,0.7203,10,6,0.7233
"35",35,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",2,"(AREA QUESTION1)","1996-02-01 00:19:08","1996-02-01 00:19:08","1996-02-01 00:19:08","1996-02-01 00:19:08",0,0,118.973265182025,"correct",0,0,1,0,"Geometry",35,0.4291,"trapezoid-area",7,0.7031,"area",29,0.4468,"trapezoid-area",7,0.7015,"trapezoid-area",7,0.7019,"trapezoid-area",7,0.7019,"trapezoid-area",7,0.7015,"trapezoid-area",7,0.7015,"Single-KC",35,0.4291,"trapezoid-area",7,0.7019,"trapezoid-area",7,0.7015,75,2,0.6193,"trapezoid-area",7,0.7015,10,7,0.704
