"","ï..Row","Sample","Anon.Student.Id","Problem.Hierarchy","Problem.Name","Problem.View","Problem.Start.Time","Problem.End.Time","Latency..sec.","Steps.Missing.Start.Times","Hints","Incorrects","Corrects","Avg.Corrects","Steps","Avg.Assistance.Score","Correct.First.Attempts","Condition","KCs..Geometry.","Steps.without.KCs..Geometry.","KC.List..Geometry.","KCs..KRE_circle_area.","Steps.without.KCs..KRE_circle_area.","KC.List..KRE_circle_area.","KCs..Khushboo.","Steps.without.KCs..Khushboo.","KC.List..Khushboo.","KCs..MJB.SQRECT.Merge.","Steps.without.KCs..MJB.SQRECT.Merge.","KC.List..MJB.SQRECT.Merge.","KCs..MyKC.","Steps.without.KCs..MyKC.","KC.List..MyKC.","KCs..NNEWWW.","Steps.without.KCs..NNEWWW.","KC.List..NNEWWW.","KCs..New.","Steps.without.KCs..New.","KC.List..New.","KCs..NewModel.","Steps.without.KCs..NewModel.","KC.List..NewModel.","KCs..Single.KC.","Steps.without.KCs..Single.KC.","KC.List..Single.KC.","KCs..Textbook.","Steps.without.KCs..Textbook.","KC.List..Textbook.","KCs..Textbook.test.","Steps.without.KCs..Textbook.test.","KC.List..Textbook.test.","KCs..Unique.step.","Steps.without.KCs..Unique.step.","KC.List..Unique.step.","KCs..Zhulin_Textbook11_SquareRectMerge.","Steps.without.KCs..Zhulin_Textbook11_SquareRectMerge.","KC.List..Zhulin_Textbook11_SquareRectMerge.","KCs..new.KC.model.name.","Steps.without.KCs..new.KC.model.name.","KC.List..new.KC.model.name."
"17",17,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_ABCD",3,"2/1/1996 0:28","2/1/1996 0:28",52,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",3,0,"KC101, KC34, KC73",1,0,"trapezoid-area",1,0,"trapezoid-area"
"19",19,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",4,"2/1/1996 0:29","2/1/1996 0:29",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC23",1,0,"trapezoid-area",1,0,"trapezoid-area"
"20",20,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",3,"2/1/1996 0:29","2/1/1996 0:29",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC102",1,0,"trapezoid-area",1,0,"trapezoid-area"
"22",22,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_AREA",5,"2/1/1996 0:31","2/1/1996 0:31",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC47",1,0,"trapezoid-area",1,0,"trapezoid-area"
"25",25,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_HEIGHT",6,"2/1/1996 0:31","2/1/1996 0:31",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC23",1,0,"trapezoid-area",1,0,"trapezoid-area"
"26",26,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRAPEZOID_BASE",5,"2/1/1996 0:33","2/1/1996 0:33",15,0,0,0,5,5,1,0,1,0,1,0,"Geometry",1,0,"trapezoid-area",1,0,"area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"Single-KC",1,0,"trapezoid-area",1,0,"trapezoid-area",1,0,"KC102",1,0,"trapezoid-area",1,0,"trapezoid-area"
"27",27,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",1,"2/1/1996 0:33","2/1/1996 0:34",35,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,"KC3, KC89, KC98",1,0,"triangle-area",1,0,"triangle-area"
"28",28,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_TRIANGLE",1,"2/1/1996 0:34","2/1/1996 0:34",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC48",1,0,"triangle-area",1,0,"triangle-area"
"29",29,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_RECTANGLE",1,"2/1/1996 0:35","2/1/1996 0:35",21,0,0,2,2,1,2,1,0,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"KC110, KC42",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area"
"31",31,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",1,"2/1/1996 0:39","2/1/1996 0:40",43,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"32",32,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_AREA",1,"2/1/1996 0:40","2/1/1996 0:40",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC37",1,0,"triangle-area",1,0,"triangle-area"
"33",33,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",1,"2/1/1996 0:41","2/1/1996 0:41",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC106",1,0,"triangle-area",1,0,"triangle-area"
"34",34,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",1,"2/1/1996 0:41","2/1/1996 0:41",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC27",1,0,"triangle-area",1,0,"triangle-area"
"35",35,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","DESIGNING_A_QUILT",2,"2/1/1996 0:41","2/1/1996 0:43",100,0,0,1,12,1,12,0.083,11,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",12,0,"KC105, KC109, KC115, KC121, KC122, KC40, KC56, KC6, KC66, KC68, KC88, KC99",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area"
"36",36,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",2,"2/1/1996 0:43","2/1/1996 0:44",47,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"37",37,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",2,"2/1/1996 0:44","2/1/1996 0:45",36,0,0,3,3,1,3,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,"KC3, KC89, KC98",1,0,"triangle-area",1,0,"triangle-area"
"38",38,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",2,"2/1/1996 0:45","2/1/1996 0:45",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC106",1,0,"triangle-area",1,0,"triangle-area"
"39",39,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",2,"2/1/1996 0:45","2/1/1996 0:45",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC27",1,0,"triangle-area",1,0,"triangle-area"
"40",40,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_ABC",3,"2/1/1996 0:45","2/1/1996 0:47",77,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,"KC3, KC89, KC98",1,0,"triangle-area",1,0,"triangle-area"
"41",41,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_HEIGHT",3,"2/1/1996 0:47","2/1/1996 0:47",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC106",1,0,"triangle-area",1,0,"triangle-area"
"42",42,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","TRIANGLE_BASE",3,"2/1/1996 0:47","2/1/1996 0:47",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,"KC27",1,0,"triangle-area",1,0,"triangle-area"
"43",43,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON",1,"2/1/1996 0:47","2/1/1996 0:48",14,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC116, KC131, KC49",1,0,"pentagon-area",1,0,"pentagon-area"
"44",44,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",3,"2/1/1996 0:48","2/1/1996 0:48",12,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"45",45,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON",2,"2/1/1996 0:48","2/1/1996 0:49",33,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC116, KC131, KC49",1,0,"pentagon-area",1,0,"pentagon-area"
"46",46,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",4,"2/1/1996 0:49","2/1/1996 0:49",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"KC112",1,0,"pentagon-area",1,0,"pentagon-area"
"48",48,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","PENTAGON_ABCDE",5,"2/1/1996 0:50","2/1/1996 0:51",27,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,"KC10, KC112, KC25",1,0,"pentagon-area",1,0,"pentagon-area"
"50",50,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","CIRCLE_O",1,"2/1/1996 0:51","2/1/1996 0:54",162,0,0,7,12,1,12,0.583,5,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",12,0,"KC107, KC117, KC120, KC123, KC15, KC31, KC4, KC70, KC71, KC74, KC82, KC93",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"51",51,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","LAWN_SPRINKLER",1,"2/1/1996 0:54","2/1/1996 0:54",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"circle-area",1,0,"area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"Single-KC",1,0,"circle-area",1,0,"circle-area",1,0,"KC52",1,0,"circle-area",1,0,"circle-area"
"52",52,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","COVERING_POOL",1,"2/1/1996 0:55","2/1/1996 0:55",37,0,0,2,2,1,2,1,0,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"KC118, KC79",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter"
"53",53,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","DOG_ON_A_ROPE",1,"2/1/1996 0:55","2/1/1996 0:56",13,0,0,2,2,1,2,1,0,0,1,0,"Geometry",2,0,"circle-area, circle-circumference",2,0,"area, circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",1,0,"Single-KC",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"KC103, KC87",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference"
"55",55,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","CIRCLE_DIAMETER",1,"2/1/1996 0:56","2/1/1996 0:57",17,0,0,3,3,1,3,1,0,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC13, KC130, KC60",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"56",56,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","CIRCLE_RADIUS",1,"2/1/1996 0:57","2/1/1996 0:57",17,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC14, KC51, KC72",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
"57",57,"All Data","Stu_02ee1b3f31a6f6a7f4b8012298b2395e","Unit Area","CIRCLE_AREA",1,"2/1/1996 0:57","2/1/1996 0:58",35,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"KC44, KC63, KC86",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter"
